order_id,date,customer_name,region,product_name,category,quantity,price,revenue,profit
74,2023-12-20,Ishita Desai,West,Notebook Set,Stationery,5,200.0,1000.0,400.0
11,2023-02-19,Ananya Bhatt,East,Ballpoint Pens,Stationery,10,60.0,600.0,200.0
27,2023-05-13,Ritu Saxena,East,Ballpoint Pens,Stationery,20,60.0,1200.0,400.0
43,2023-08-02,Rahul Gupta,South,Ballpoint Pens,Stationery,15,60.0,900.0,300.0
65,2023-11-21,Rohan Joshi,North,Ballpoint Pens,Stationery,25,60.0,1500.0,500.0
3,2023-01-12,Neha Verma,East,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
12,2023-02-23,Sneha Mehta,East,"Monitor 27""",Electronics,2,15500.0,31000.0,7000.0
20,2023-04-07,Aditya Sharma,North,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
28,2023-05-18,Gaurav Mishra,South,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
37,2023-07-03,Yash Thakur,South,"Monitor 27""",Electronics,2,15500.0,31000.0,7000.0
46,2023-08-17,Ishita Desai,West,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
52,2023-09-16,Arjun Kumar,West,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
60,2023-10-26,Akash Pandey,North,"Monitor 27""",Electronics,2,15500.0,31000.0,7000.0
67,2023-12-01,Aditya Sharma,North,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
75,2023-12-21,Harshit Kulkarni,North,"Monitor 27""",Electronics,1,15500.0,15500.0,3500.0
5,2023-01-22,Vikram Singh,North,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
14,2023-03-06,Manish Bose,West,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
23,2023-04-22,Arjun Kumar,West,Mechanical Keyboard,Electronics,2,3000.0,6000.0,1600.0
30,2023-05-28,Siddharth Das,South,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
39,2023-07-13,Manish Bose,West,Mechanical Keyboard,Electronics,2,3000.0,6000.0,1600.0
47,2023-08-22,Kavya Rao,West,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
55,2023-10-01,Priya Patel,West,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
62,2023-11-06,Riya Jain,East,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
70,2023-12-16,Yash Thakur,South,Mechanical Keyboard,Electronics,2,3000.0,6000.0,1600.0
79,2023-12-27,Tanvi Shah,East,Mechanical Keyboard,Electronics,1,3000.0,3000.0,800.0
29,2023-05-23,Priya Patel,West,Bookshelf,Furniture,1,4500.0,4500.0,1300.0
50,2023-09-06,Karan Malhotra,North,Bookshelf,Furniture,2,4500.0,9000.0,2600.0
66,2023-11-26,Gaurav Mishra,South,Bookshelf,Furniture,1,4500.0,4500.0,1300.0
17,2023-03-20,Rahul Gupta,South,Whiteboard,Stationery,2,2200.0,4400.0,1400.0
36,2023-06-27,Sneha Mehta,East,Whiteboard,Stationery,1,2200.0,2200.0,700.0
54,2023-09-26,Deepak Choudhary,South,Whiteboard,Stationery,1,2200.0,2200.0,700.0
77,2023-12-23,Deepak Choudhary,South,Whiteboard,Stationery,2,2200.0,4400.0,1400.0
9,2023-02-11,Pooja Iyer,South,Webcam HD,Electronics,2,2500.0,5000.0,1400.0
22,2023-04-17,Karan Malhotra,North,Webcam HD,Electronics,1,2500.0,2500.0,700.0
34,2023-06-17,Ananya Bhatt,East,Webcam HD,Electronics,2,2500.0,5000.0,1400.0
44,2023-08-07,Harshit Kulkarni,North,Webcam HD,Electronics,1,2500.0,2500.0,700.0
58,2023-10-16,Anjali Reddy,South,Webcam HD,Electronics,3,2500.0,7500.0,2100.0
72,2023-12-18,Divya Nair,East,Webcam HD,Electronics,2,2500.0,5000.0,1400.0
